codice_gestione,codice_voce,macro_categoria_v2
MON,1.01.01.54.001,Imposte proprie
PRO,1.01.01.54.001,Imposte proprie
REG,1.01.01.54.001,Imposte proprie
SP1,1.01.01.54.001,Imposte proprie
SP3,1.01.01.54.001,Imposte proprie
SP8,1.01.01.54.001,Imposte proprie
EPF,1.01.01.54.002,Imposte proprie
MON,1.01.01.54.002,Imposte proprie
PRO,1.01.01.54.002,Imposte proprie
REG,1.01.01.54.002,Imposte proprie
SP1,1.01.01.54.002,Imposte proprie
SP3,1.01.01.54.002,Imposte proprie
SP8,1.01.01.54.002,Imposte proprie
EPF,1.01.01.55.001,Imposte proprie
MON,1.01.01.55.001,Imposte proprie
PRO,1.01.01.55.001,Imposte proprie
REG,1.01.01.55.001,Imposte proprie
SP1,1.01.01.55.001,Imposte proprie
SP3,1.01.01.55.001,Imposte proprie
SP8,1.01.01.55.001,Imposte proprie
EPF,1.01.01.55.002,Imposte proprie
MON,1.01.01.55.002,Imposte proprie
PRO,1.01.01.55.002,Imposte proprie
REG,1.01.01.55.002,Imposte proprie
SP1,1.01.01.55.002,Imposte proprie
SP3,1.01.01.55.002,Imposte proprie
SP8,1.01.01.55.002,Imposte proprie
EPF,1.01.01.59.001,Imposte proprie
MON,1.01.01.59.001,Imposte proprie
PRO,1.01.01.59.001,Imposte proprie
REG,1.01.01.59.001,Imposte proprie
SP1,1.01.01.59.001,Imposte proprie
SP3,1.01.01.59.001,Imposte proprie
SP8,1.01.01.59.001,Imposte proprie
EPF,1.01.01.59.002,Imposte proprie
MON,1.01.01.59.002,Imposte proprie
PRO,1.01.01.59.002,Imposte proprie
REG,1.01.01.59.002,Imposte proprie
SP1,1.01.01.59.002,Imposte proprie
SP3,1.01.01.59.002,Imposte proprie
SP8,1.01.01.59.002,Imposte proprie
EPF,1.01.01.60.001,Imposte proprie
MON,1.01.01.60.001,Imposte proprie
PRO,1.01.01.60.001,Imposte proprie
REG,1.01.01.60.001,Imposte proprie
SP1,1.01.01.60.001,Imposte proprie
SP3,1.01.01.60.001,Imposte proprie
SP8,1.01.01.60.001,Imposte proprie
EPF,1.01.01.60.002,Imposte proprie
MON,1.01.01.60.002,Imposte proprie
PRO,1.01.01.60.002,Imposte proprie
REG,1.01.01.60.002,Imposte proprie
SP1,1.01.01.60.002,Imposte proprie
SP3,1.01.01.60.002,Imposte proprie
SP8,1.01.01.60.002,Imposte proprie
EPF,1.01.01.61.001,Imposte proprie
MON,1.01.01.61.001,Imposte proprie
PRO,1.01.01.61.001,Imposte proprie
REG,1.01.01.61.001,Imposte proprie
SP1,1.01.01.61.001,Imposte proprie
SP3,1.01.01.61.001,Imposte proprie
SP8,1.01.01.61.001,Imposte proprie
EPF,1.01.01.61.002,Imposte proprie
MON,1.01.01.61.002,Imposte proprie
PRO,1.01.01.61.002,Imposte proprie
REG,1.01.01.61.002,Imposte proprie
SP1,1.01.01.61.002,Imposte proprie
SP3,1.01.01.61.002,Imposte proprie
SP8,1.01.01.61.002,Imposte proprie
EPF,1.01.01.64.001,Imposte proprie
MON,1.01.01.64.001,Imposte proprie
PRO,1.01.01.64.001,Imposte proprie
REG,1.01.01.64.001,Imposte proprie
SP1,1.01.01.64.001,Imposte proprie
SP3,1.01.01.64.001,Imposte proprie
SP8,1.01.01.64.001,Imposte proprie
EPF,1.01.01.64.002,Imposte proprie
MON,1.01.01.64.002,Imposte proprie
PRO,1.01.01.64.002,Imposte proprie
REG,1.01.01.64.002,Imposte proprie
SP1,1.01.01.64.002,Imposte proprie
SP3,1.01.01.64.002,Imposte proprie
SP8,1.01.01.64.002,Imposte proprie
EPF,1.01.01.65.001,Imposte proprie
MON,1.01.01.65.001,Imposte proprie
PRO,1.01.01.65.001,Imposte proprie
REG,1.01.01.65.001,Imposte proprie
SP1,1.01.01.65.001,Imposte proprie
SP3,1.01.01.65.001,Imposte proprie
SP8,1.01.01.65.001,Imposte proprie
EPF,1.01.01.65.002,Imposte proprie
MON,1.01.01.65.002,Imposte proprie
PRO,1.01.01.65.002,Imposte proprie
REG,1.01.01.65.002,Imposte proprie
SP1,1.01.01.65.002,Imposte proprie
SP3,1.01.01.65.002,Imposte proprie
SP8,1.01.01.65.002,Imposte proprie
EPF,1.01.01.68.001,Imposte proprie
MON,1.01.01.68.001,Imposte proprie
PRO,1.01.01.68.001,Imposte proprie
REG,1.01.01.68.001,Imposte proprie
SP1,1.01.01.68.001,Imposte proprie
SP3,1.01.01.68.001,Imposte proprie
SP8,1.01.01.68.001,Imposte proprie
EPF,1.01.01.68.002,Imposte proprie
MON,1.01.01.68.002,Imposte proprie
PRO,1.01.01.68.002,Imposte proprie
REG,1.01.01.68.002,Imposte proprie
SP1,1.01.01.68.002,Imposte proprie
SP3,1.01.01.68.002,Imposte proprie
SP8,1.01.01.68.002,Imposte proprie
EPF,1.01.01.70.001,Imposte proprie
MON,1.01.01.70.001,Imposte proprie
PRO,1.01.01.70.001,Imposte proprie
REG,1.01.01.70.001,Imposte proprie
SP1,1.01.01.70.001,Imposte proprie
SP3,1.01.01.70.001,Imposte proprie
SP8,1.01.01.70.001,Imposte proprie
EPF,1.01.01.70.002,Imposte proprie
MON,1.01.01.70.002,Imposte proprie
PRO,1.01.01.70.002,Imposte proprie
REG,1.01.01.70.002,Imposte proprie
SP1,1.01.01.70.002,Imposte proprie
SP3,1.01.01.70.002,Imposte proprie
SP8,1.01.01.70.002,Imposte proprie
EPF,1.01.01.76.001,Imposte proprie
MON,1.01.01.76.001,Imposte proprie
PRO,1.01.01.76.001,Imposte proprie
REG,1.01.01.76.001,Imposte proprie
SP1,1.01.01.76.001,Imposte proprie
SP3,1.01.01.76.001,Imposte proprie
SP8,1.01.01.76.001,Imposte proprie
EPF,1.01.01.76.002,Imposte proprie
MON,1.01.01.76.002,Imposte proprie
PRO,1.01.01.76.002,Imposte proprie
REG,1.01.01.76.002,Imposte proprie
SP1,1.01.01.76.002,Imposte proprie
SP3,1.01.01.76.002,Imposte proprie
SP8,1.01.01.76.002,Imposte proprie
EPF,1.01.01.77.001,Imposte proprie
MON,1.01.01.77.001,Imposte proprie
PRO,1.01.01.77.001,Imposte proprie
REG,1.01.01.77.001,Imposte proprie
SP1,1.01.01.77.001,Imposte proprie
SP3,1.01.01.77.001,Imposte proprie
SP8,1.01.01.77.001,Imposte proprie
EPF,1.01.01.77.002,Imposte proprie
MON,1.01.01.77.002,Imposte proprie
PRO,1.01.01.77.002,Imposte proprie
REG,1.01.01.77.002,Imposte proprie
SP1,1.01.01.77.002,Imposte proprie
SP3,1.01.01.77.002,Imposte proprie
SP8,1.01.01.77.002,Imposte proprie
EPF,1.01.01.95.001,Imposte proprie
MON,1.01.01.95.001,Imposte proprie
PRO,1.01.01.95.001,Imposte proprie
REG,1.01.01.95.001,Imposte proprie
SP1,1.01.01.95.001,Imposte proprie
SP3,1.01.01.95.001,Imposte proprie
SP8,1.01.01.95.001,Imposte proprie
EPF,1.01.01.95.002,Imposte proprie
MON,1.01.01.95.002,Imposte proprie
PRO,1.01.01.95.002,Imposte proprie
REG,1.01.01.95.002,Imposte proprie
SP1,1.01.01.95.002,Imposte proprie
SP3,1.01.01.95.002,Imposte proprie
SP8,1.01.01.95.002,Imposte proprie
EPF,1.01.01.96.001,Imposte proprie
MON,1.01.01.96.001,Imposte proprie
PRO,1.01.01.96.001,Imposte proprie
REG,1.01.01.96.001,Imposte proprie
SP1,1.01.01.96.001,Imposte proprie
SP3,1.01.01.96.001,Imposte proprie
SP8,1.01.01.96.001,Imposte proprie
EPF,1.01.01.96.002,Imposte proprie
MON,1.01.01.96.002,Imposte proprie
PRO,1.01.01.96.002,Imposte proprie
REG,1.01.01.96.002,Imposte proprie
SP1,1.01.01.96.002,Imposte proprie
SP3,1.01.01.96.002,Imposte proprie
SP8,1.01.01.96.002,Imposte proprie
EPF,1.01.01.97.001,Imposte proprie
MON,1.01.01.97.001,Imposte proprie
PRO,1.01.01.97.001,Imposte proprie
REG,1.01.01.97.001,Imposte proprie
SP1,1.01.01.97.001,Imposte proprie
SP3,1.01.01.97.001,Imposte proprie
SP8,1.01.01.97.001,Imposte proprie
EPF,1.01.01.97.002,Imposte proprie
MON,1.01.01.97.002,Imposte proprie
PRO,1.01.01.97.002,Imposte proprie
REG,1.01.01.97.002,Imposte proprie
SP1,1.01.01.97.002,Imposte proprie
SP3,1.01.01.97.002,Imposte proprie
SP8,1.01.01.97.002,Imposte proprie
EPF,1.01.01.98.001,Imposte proprie
MON,1.01.01.98.001,Imposte proprie
PRO,1.01.01.98.001,Imposte proprie
REG,1.01.01.98.001,Imposte proprie
SP1,1.01.01.98.001,Imposte proprie
SP3,1.01.01.98.001,Imposte proprie
SP8,1.01.01.98.001,Imposte proprie
EPF,1.01.01.98.002,Imposte proprie
MON,1.01.01.98.002,Imposte proprie
PRO,1.01.01.98.002,Imposte proprie
REG,1.01.01.98.002,Imposte proprie
SP1,1.01.01.98.002,Imposte proprie
SP3,1.01.01.98.002,Imposte proprie
SP8,1.01.01.98.002,Imposte proprie
AAI,1.01.01.99.001,Imposte proprie
ASP,1.01.01.99.001,Imposte proprie
EPF,1.01.01.99.001,Imposte proprie
MON,1.01.01.99.001,Imposte proprie
PRO,1.01.01.99.001,Imposte proprie
REG,1.01.01.99.001,Imposte proprie
SP1,1.01.01.99.001,Imposte proprie
SP3,1.01.01.99.001,Imposte proprie
SP8,1.01.01.99.001,Imposte proprie
VCF,1.01.01.99.001,Imposte proprie
AAI,1.01.01.99.002,Imposte proprie
ASP,1.01.01.99.002,Imposte proprie
EPF,1.01.01.99.002,Imposte proprie
MON,1.01.01.99.002,Imposte proprie
PRO,1.01.01.99.002,Imposte proprie
REG,1.01.01.99.002,Imposte proprie
SP1,1.01.01.99.002,Imposte proprie
SP3,1.01.01.99.002,Imposte proprie
SP8,1.01.01.99.002,Imposte proprie
VCF,1.01.01.99.002,Imposte proprie
EPF,1.01.02.01.001,Imposte proprie
MON,1.01.02.01.001,Imposte proprie
PRO,1.01.02.01.001,Imposte proprie
REG,1.01.02.01.001,Imposte proprie
SP1,1.01.02.01.001,Imposte proprie
SP3,1.01.02.01.001,Imposte proprie
SP8,1.01.02.01.001,Imposte proprie
EPF,1.01.02.02.001,Imposte proprie
MON,1.01.02.02.001,Imposte proprie
PRO,1.01.02.02.001,Imposte proprie
REG,1.01.02.02.001,Imposte proprie
SP1,1.01.02.02.001,Imposte proprie
SP3,1.01.02.02.001,Imposte proprie
SP8,1.01.02.02.001,Imposte proprie
EPF,1.01.02.03.001,Imposte proprie
MON,1.01.02.03.001,Imposte proprie
PRO,1.01.02.03.001,Imposte proprie
REG,1.01.02.03.001,Imposte proprie
SP1,1.01.02.03.001,Imposte proprie
SP3,1.01.02.03.001,Imposte proprie
SP8,1.01.02.03.001,Imposte proprie
EPF,1.01.02.04.001,Imposte proprie
MON,1.01.02.04.001,Imposte proprie
PRO,1.01.02.04.001,Imposte proprie
REG,1.01.02.04.001,Imposte proprie
SP1,1.01.02.04.001,Imposte proprie
SP3,1.01.02.04.001,Imposte proprie
SP8,1.01.02.04.001,Imposte proprie
EPF,1.01.02.05.001,Imposte proprie
MON,1.01.02.05.001,Imposte proprie
PRO,1.01.02.05.001,Imposte proprie
REG,1.01.02.05.001,Imposte proprie
SP1,1.01.02.05.001,Imposte proprie
SP3,1.01.02.05.001,Imposte proprie
SP8,1.01.02.05.001,Imposte proprie
EPF,1.01.02.06.001,Imposte proprie
MON,1.01.02.06.001,Imposte proprie
PRO,1.01.02.06.001,Imposte proprie
REG,1.01.02.06.001,Imposte proprie
SP1,1.01.02.06.001,Imposte proprie
SP3,1.01.02.06.001,Imposte proprie
SP8,1.01.02.06.001,Imposte proprie
EPF,1.01.02.99.999,Imposte proprie
MON,1.01.02.99.999,Imposte proprie
PRO,1.01.02.99.999,Imposte proprie
REG,1.01.02.99.999,Imposte proprie
SP1,1.01.02.99.999,Imposte proprie
SP3,1.01.02.99.999,Imposte proprie
SP8,1.01.02.99.999,Imposte proprie
EPF,1.01.03.01.001,Imposte proprie
MON,1.01.03.01.001,Imposte proprie
PRO,1.01.03.01.001,Imposte proprie
REG,1.01.03.01.001,Imposte proprie
SP1,1.01.03.01.001,Imposte proprie
SP3,1.01.03.01.001,Imposte proprie
SP8,1.01.03.01.001,Imposte proprie
EPF,1.01.03.01.002,Imposte proprie
MON,1.01.03.01.002,Imposte proprie
PRO,1.01.03.01.002,Imposte proprie
REG,1.01.03.01.002,Imposte proprie
SP1,1.01.03.01.002,Imposte proprie
SP3,1.01.03.01.002,Imposte proprie
SP8,1.01.03.01.002,Imposte proprie
EPF,1.01.03.02.001,Imposte proprie
MON,1.01.03.02.001,Imposte proprie
