codice_gestione,codice_voce,macro_area,macro_categoria
EPF,1.01.02.02.005,Spese correnti,Personale
MON,1.01.02.02.005,Spese correnti,Personale
PRO,1.01.02.02.005,Spese correnti,Personale
REG,1.01.02.02.005,Spese correnti,Personale
SP1,1.01.02.02.005,Spese correnti,Personale
SP3,1.01.02.02.005,Spese correnti,Personale
SP8,1.01.02.02.005,Spese correnti,Personale
VCF,1.01.02.02.005,Spese correnti,Personale
AAI,1.01.02.02.999,Spese correnti,Personale
ASP,1.01.02.02.999,Spese correnti,Personale
EPF,1.01.02.02.999,Spese correnti,Personale
FLS,1.01.02.02.999,Spese correnti,Personale
MON,1.01.02.02.999,Spese correnti,Personale
PRO,1.01.02.02.999,Spese correnti,Personale
REG,1.01.02.02.999,Spese correnti,Personale
RIC,1.01.02.02.999,Spese correnti,Personale
SP1,1.01.02.02.999,Spese correnti,Personale
SP3,1.01.02.02.999,Spese correnti,Personale
SP4,1.01.02.02.999,Spese correnti,Personale
SP7,1.01.02.02.999,Spese correnti,Personale
SP8,1.01.02.02.999,Spese correnti,Personale
UNI,1.01.02.02.999,Spese correnti,Personale
VCE,1.01.02.02.999,Spese correnti,Personale
VCF,1.01.02.02.999,Spese correnti,Personale
AAI,1.02.01.01.001,Spese correnti,Imposte e tasse
ASP,1.02.01.01.001,Spese correnti,Imposte e tasse
EPF,1.02.01.01.001,Spese correnti,Imposte e tasse
FLS,1.02.01.01.001,Spese correnti,Imposte e tasse
MON,1.02.01.01.001,Spese correnti,Imposte e tasse
PRO,1.02.01.01.001,Spese correnti,Imposte e tasse
REG,1.02.01.01.001,Spese correnti,Imposte e tasse
RIC,1.02.01.01.001,Spese correnti,Imposte e tasse
SP1,1.02.01.01.001,Spese correnti,Imposte e tasse
SP3,1.02.01.01.001,Spese correnti,Imposte e tasse
SP4,1.02.01.01.001,Spese correnti,Imposte e tasse
SP7,1.02.01.01.001,Spese correnti,Imposte e tasse
SP8,1.02.01.01.001,Spese correnti,Imposte e tasse
UNI,1.02.01.01.001,Spese correnti,Imposte e tasse
VCE,1.02.01.01.001,Spese correnti,Imposte e tasse
VCF,1.02.01.01.001,Spese correnti,Imposte e tasse
AAI,1.02.01.02.001,Spese correnti,Imposte e tasse
ASP,1.02.01.02.001,Spese correnti,Imposte e tasse
EPF,1.02.01.02.001,Spese correnti,Imposte e tasse
FLS,1.02.01.02.001,Spese correnti,Imposte e tasse
MON,1.02.01.02.001,Spese correnti,Imposte e tasse
PRO,1.02.01.02.001,Spese correnti,Imposte e tasse
REG,1.02.01.02.001,Spese correnti,Imposte e tasse
RIC,1.02.01.02.001,Spese correnti,Imposte e tasse
SP1,1.02.01.02.001,Spese correnti,Imposte e tasse
SP3,1.02.01.02.001,Spese correnti,Imposte e tasse
SP4,1.02.01.02.001,Spese correnti,Imposte e tasse
SP7,1.02.01.02.001,Spese correnti,Imposte e tasse
SP8,1.02.01.02.001,Spese correnti,Imposte e tasse
UNI,1.02.01.02.001,Spese correnti,Imposte e tasse
VCE,1.02.01.02.001,Spese correnti,Imposte e tasse
VCF,1.02.01.02.001,Spese correnti,Imposte e tasse
AAI,1.02.01.03.001,Spese correnti,Imposte e tasse
ASP,1.02.01.03.001,Spese correnti,Imposte e tasse
EPF,1.02.01.03.001,Spese correnti,Imposte e tasse
FLS,1.02.01.03.001,Spese correnti,Imposte e tasse
MON,1.02.01.03.001,Spese correnti,Imposte e tasse
PRO,1.02.01.03.001,Spese correnti,Imposte e tasse
REG,1.02.01.03.001,Spese correnti,Imposte e tasse
RIC,1.02.01.03.001,Spese correnti,Imposte e tasse
SP1,1.02.01.03.001,Spese correnti,Imposte e tasse
SP3,1.02.01.03.001,Spese correnti,Imposte e tasse
SP4,1.02.01.03.001,Spese correnti,Imposte e tasse
SP7,1.02.01.03.001,Spese correnti,Imposte e tasse
SP8,1.02.01.03.001,Spese correnti,Imposte e tasse
UNI,1.02.01.03.001,Spese correnti,Imposte e tasse
VCE,1.02.01.03.001,Spese correnti,Imposte e tasse
VCF,1.02.01.03.001,Spese correnti,Imposte e tasse
AAI,1.02.01.04.001,Spese correnti,Imposte e tasse
ASP,1.02.01.04.001,Spese correnti,Imposte e tasse
EPF,1.02.01.04.001,Spese correnti,Imposte e tasse
FLS,1.02.01.04.001,Spese correnti,Imposte e tasse
MON,1.02.01.04.001,Spese correnti,Imposte e tasse
PRO,1.02.01.04.001,Spese correnti,Imposte e tasse
REG,1.02.01.04.001,Spese correnti,Imposte e tasse
RIC,1.02.01.04.001,Spese correnti,Imposte e tasse
SP1,1.02.01.04.001,Spese correnti,Imposte e tasse
SP3,1.02.01.04.001,Spese correnti,Imposte e tasse
